x,y
0.5781871278808673,0.778490618471663
0.8438720388938936,0.9366997507821431
0.4970140866459578,0.08328904478194521
0.29159925376429807,0.8733591039492014
0.9974675757321565,0.7198104201490525
0.31371676581402297,0.40272224598206285
0.6736835805029033,0.4519876315154846
0.24691819948462146,0.7352245122805878
0.9700448628032794,0.7463555611500932
0.32895454062431373,0.4127177535925426
0.991472891837099,0.13750752292715396
0.07768451586796343,0.4152965343209054
0.6327934310536808,0.9249012460833378
0.7162036224524015,0.06781173887889069
0.8749846397300632,0.6115668948637928
0.7677396601395559,0.3739097140593872
0.43693688501261574,0.7814036273205478
0.48794777727956906,0.019692820146342882
0.9684235220543619,0.30413255571211817
0.5024332634761213,0.309605295569476
0.6233028786437681,0.8556081133963863
0.8737759445432198,0.7239058099243704
0.16154095376289612,0.7460716328100803
0.8350251077924602,0.62009635905434
0.6944655576221557,0.9600644492033322
0.5955791969237463,0.8399343362698062
0.8097327142562284,0.12910032343321287
0.9505600510095215,0.6291632139615466
0.0908059958995654,0.8818297505191343
0.9062364911058042,0.32885422020685673
0.9803204767005079,0.6463116398140061
0.17174748986357824,0.755260078035991
0.5275227380901106,0.5151408877456758
0.16132059182000746,0.04933886355315564
0.8070488856553967,0.2265625912614958
0.10137634209381607,0.04761456664378416
0.6996230728166669,0.6633372151320541
0.9433550485568649,0.9027981137225665
0.2848289143235283,0.5260028893012919
0.045797070012734364,0.7656010435879388
